nome_popular;nome_cientifico;nome_ingles;
bacurau-rabo-de-seda;Antrostomus sericocaudatus;Silky-tailed Nightjar;
bacurau-tesoura;Hydropsalis torquata;Scissor-tailed Nightjar;
bacurau-tesourão;Hydropsalis forcipata;Long-trained Nightjar;
bacurauzinho;Nannochordeiles pusillus;Least Nighthawk;
bacurauzinho-da-caatinga;Nyctidromus hirundinaceus;Pygmy Nightjar;
bagageiro;Phaeomyias murina;Mouse-colored Tyrannulet;
baiano;Sporophila nigricollis;Yellow-bellied Seedeater;
balança-rabo-canela;Glaucis dohrnii;Hook-billed Hermit;
balança-rabo-de-bico-torto;Glaucis hirsutus;Rufous-breasted Hermit;
balança-rabo-de-chapéu-preto;Polioptila plumbea;Tropical Gnatcatcher;
balança-rabo-de-garganta-preta;Threnetes leucurus;Pale-tailed Barbthroat;
balança-rabo-de-máscara;Polioptila dumicola;Masked Gnatcatcher;
balança-rabo-de-roraima;Polioptila innotata;Rio Branco Gnatcatcher;
balança-rabo-do-acre;Polioptila parvirostris;Small-billed Gantcatcher;
balança-rabo-do-inambari;Polioptila attenboroughi;Inambari Gnatcatcher;
balança-rabo-do-nordeste;Polioptila atricapilla;White-bellied Gnatcatcher;
balança-rabo-do-rio-negro;Polioptila facilis;Rio Negro Gnatcatcher;
balança-rabo-escuro;Threnetes niger;Sooty Barbthroat;
balança-rabo-guianense;Polioptila guianensis;Guianan Gnatcatcher;
balança-rabo-leitoso;Polioptila lactea;Creamy-bellied Gnatcatcher;
balança-rabo-paraense;Polioptila paraensis;Para Gnatcatcher;
bandeirinha;Discosura longicaudus;Racket-tailed Coquette;
bandoleta;Cypsnagra hirundinacea;White-rumped Tanager;
barbudinho;Phylloscartes eximius;Southern Bristle-Tyrant;
barbudinho-do-tepui;Phylloscartes chapmani;Chapman's Bristle-Tyrant;
barbudo-de-coleira;Malacoptila semicincta;Semicollared Puffbird;
barbudo-de-pescoço-ferrugem;Malacoptila rufa;Rufous-necked Puffbird;
barbudo-pardo;Malacoptila fusca;White-chested Puffbird;
barbudo-rajado;Malacoptila striata;Crescent-chested Puffbird;
barbudo-rajado-pequeno;Malacoptila minor;Lesser Crescent-chested Puffbird;
barranqueiro-camurça;Automolus ochrolaemus;Buff-throated Foliage-gleaner;
barranqueiro-de-coroa-castanha;Automolus rufipileatus;Chestnut-crowned Foliage-gleaner;
barranqueiro-de-olho-branco;Automolus leucophthalmus;White-eyed Foliage-gleaner;
barranqueiro-de-roraima;Syndactyla roraimae;White-throated Foliage-gleaner;
barranqueiro-de-topete;Anabazenops dorsalis;Dusky-cheeked Foliage-gleaner;
barranqueiro-do-nordeste;Automolus lammi;Pernambuco Foliage-gleaner;
barranqueiro-do-pará;Automolus paraensis;Para Foliage-gleaner;
barranqueiro-escuro;Automolus melanopezus;Brown-rumped Foliage-gleaner;
barranqueiro-ferrugem;Clibanornis obscurus;Dusky Foliage-gleaner;
barranqueiro-ferrugem-do-acre;Clibanornis watkinsorum;Watkins’s Foliage-gleaner;
barranqueiro-pardo;Automolus infuscatus;Olive-backed Foliage-gleaner;
barranqueiro-pardo-do-norte;Automolus cervicalis;Olive-capped Foliage-gleaner;
barulhento;Euscarthmus meloryphus;Tawny-crowned Pygmy-Tyrant;
bate-bico;Phleocryptes melanops;Wren-like Rushbird;
bate-para;Attila bolivianus;Dull-capped Attila;
batuíra-bicuda;Charadrius wilsonia;Wilson's Plover;
batuíra-de-bando;Charadrius semipalmatus;Semipalmated Plover;
batuíra-de-coleira;Charadrius collaris;Collared Plover;
batuíra-de-coleira-dupla;Charadrius falklandicus;Two-banded Plover;
batuíra-de-papo-ferrugíneo;Oreopholus ruficollis;Tawny-throated Dotterel;
batuíra-de-peito-tijolo;Charadrius modestus;Rufous-chested Dotterel;
batuíra-mascarada;Charadrius sp.;Sand-Plover;
batuiruçu;Pluvialis dominica;American Golden-Plover;
batuiruçu-de-axila-preta;Pluvialis squatarola;Black-bellied Plover;
batuqueiro;Saltatricula atricollis;Black-throated Saltator;
batuqueiro-chaquenho;Saltatricula multicolor;Many-colored Chaco Finch;
beija-flor-azul-de-rabo-branco;Florisuga mellivora;White-necked Jacobin;
beija-flor-brilho-de-fogo;Topaza pella;Crimson Topaz;
beija-flor-cinza;Aphantochroa cirrochloris;Sombre Hummingbird;
beija-flor-de-banda-branca;Chrysuronia versicolor;Versicolored Emerald;
beija-flor-de-barriga-branca;Chrysuronia leucogaster;Plain-bellied Emerald;
beija-flor-de-barriga-verde;Saucerottia viridigaster;Green-bellied Hummingbird;
beija-flor-de-bico-curvo;Polytmus guainumbi;White-tailed Goldenthroat;
beija-flor-de-bico-preto;Chrysuronia brevirostris;White-chested Emerald;
beija-flor-de-bico-virado;Avocettula recurvirostris;Fiery-tailed Awlbill;
beija-flor-de-bochecha-azul;Heliothryx auritus;Black-eared Fairy;
beija-flor-de-cabeça-azul;Chrysuronia rondoniae;Blue-green Emerald;
beija-flor-de-cauda-dourada;Chrysuronia oenone;Golden-tailed Sapphire;
beija-flor-de-costas-violeta;Thalurania watertonii;Long-tailed Woodnymph;
beija-flor-de-fronte-violeta;Thalurania glaucopis;Violet-capped Woodnymph;
beija-flor-de-garganta-azul;Chlorestes notata;Blue-chinned Sapphire;
beija-flor-de-garganta-verde;Chionomesa fimbriata;Glittering-throated Emerald;
beija-flor-de-gravata-verde;Augastes scutatus;Hyacinth Visorbearer;
beija-flor-de-gravata-vermelha;Augastes lumachella;Hooded Visorbearer;
beija-flor-de-leque-canela;Lophornis ornatus;Tufted Coquette;
beija-flor-de-orelha-violeta;Colibri serrirostris;White-vented Violetear;
beija-flor-de-papo-branco;Leucochloris albicollis;White-throated Hummingbird;
beija-flor-de-peito-azul;Chionomesa lactea;Sapphire-spangled Emerald;
beija-flor-de-topete-azul;Stephanoxis loddigesii;Violet-crowned Plovercrest;
beija-flor-de-topete-verde;Stephanoxis lalandi;Green-crowned Plovercrest;
beija-flor-de-veste-preta;Anthracothorax nigricollis;Black-throated Mango;
beija-flor-de-veste-verde;Anthracothorax viridigula;Green-throated Mango;
beija-flor-dourado;Hylocharis chrysura;Gilded Hummingbird;
beija-flor-estrela;Heliodoxa aurescens;Gould's Jewelfront;
beija-flor-marrom;Colibri delphinae;Brown Violetear;
beija-flor-pintado;Thalaphorus chlorocercus;Olive-spotted Hummingbird;
beija-flor-preto;Florisuga fusca;Black Jacobin;
beija-flor-rajado;Ramphodon naevius;Saw-billed Hermit;
beija-flor-roxo;Chlorestes cyanus;White-chinned Sapphire;
beija-flor-rubi;Heliodoxa rubricauda;Brazilian Ruby;
beija-flor-safira;Hylocharis sapphirina;Rufous-throated Sapphire;
beija-flor-tesoura;Eupetomena macroura;Swallow-tailed Hummingbird;
beija-flor-tesoura-verde;Thalurania furcata;Fork-tailed Woodnymph;
beija-flor-verde;Polytmus theresiae;Green-tailed Goldenthroat;
beija-flor-verde-e-branco;Elliotomyia chionogaster;White-bellied Hummingbird;
beija-flor-vermelho;Chrysolampis mosquitus;Ruby-topaz Hummingbird;
beija-flor-violeta;Colibri coruscans;Sparkling Violetear;
bem-te-vi;Pitangus sulphuratus;Great Kiskadee;
bem-te-vi-barulhento;Myiozetetes luteiventris;Dusky-chested Flycatcher;
bem-te-vi-da-copa;Conopias parvus;Yellow-throated Flycatcher;
bem-te-vi-de-barriga-sulfúrea;Myiodynastes luteiventris;Sulphur-bellied Flycatcher;
bem-te-vi-de-cabeça-cinza;Myiozetetes granadensis;Gray-capped Flycatcher;
bem-te-vi-pequeno;Conopias trivirgatus;Three-striped Flycatcher;
bem-te-vi-pirata;Legatus leucophaius;Piratic Flycatcher;
bem-te-vi-rajado;Myiodynastes maculatus;Streaked Flycatcher;
benedito-de-testa-amarela;Melanerpes flavifrons;Yellow-fronted Woodpecker;
benedito-de-testa-vermelha;Melanerpes cruentatus;Yellow-tufted Woodpecker;
bentevizinho-de-asa-ferrugínea;Myiozetetes cayanensis;Rusty-margined Flycatcher;
bentevizinho-de-penacho-vermelho;Myiozetetes similis;Social Flycatcher;
bentevizinho-do-brejo;Philohydor lictor;Lesser Kiskadee;
besourinho-de-bico-vermelho;Chlorostilbon lucidus;Glittering-bellied Emerald;
bichoita;Schoeniophylax phryganophilus;Chotoy Spinetail;
bico-chato-amarelo;Tolmomyias flaviventris;Yellow-breasted Flycatcher;
bico-chato-da-copa;Tolmomyias assimilis;Yellow-margined Flycatcher;
bico-chato-de-cabeça-cinza;Tolmomyias poliocephalus;Gray-crowned Flycatcher;
bico-chato-de-orelha-preta;Tolmomyias sulphurescens;Yellow-olive Flycatcher;
bico-chato-de-rabo-vermelho;Ramphotrigon ruficauda;Rufous-tailed Flatbill;
bico-chato-do-sucunduri;Tolmomyias sucunduri;Sucunduri Flycatcher;
bico-chato-grande;Rhynchocyclus olivaceus;Olivaceous Flatbill;
bico-de-lacre;Estrilda astrild;Common Waxbill;
bico-de-lança;Doryfera johannae;Blue-fronted Lancebill;
bico-de-pimenta;Saltator fuliginosus;Black-throated Grosbeak;
bico-de-veludo;Schistochlamys ruficapillus;Cinnamon Tanager;
bico-duro;Saltator aurantiirostris;Golden-billed Saltator;
bico-encarnado;Saltator grossus;Slate-colored Grosbeak;
bico-grosso;Saltator maxillosus;Thick-billed Saltator;
bico-grosso-de-peito-rosa;Pheucticus ludovicianus;Rose-breasted Grosbeak;
bico-reto-azul;Heliomaster furcifer;Blue-tufted Starthroat;
bico-reto-cinzento;Heliomaster longirostris;Long-billed Starthroat;
bico-reto-de-banda-branca;Heliomaster squamosus;Stripe-breasted Starthroat;
bico-virado-carijó;Xenops rutilans;Streaked Xenops;
bico-virado-da-caatinga;Megaxenops parnaguae;Great Xenops;
bico-virado-da-copa;Microxenops milleri;Rufous-tailed Xenops;
bico-virado-fino;Xenops tenuirostris;Slender-billed Xenops;
bico-virado-miúdo;Xenops minutus;Plain Xenops;
bicudinho;Sporophila crassirostris;Large-billed Seed-Finch;
bicudinho-do-brejo;Formicivora acutirostris;Marsh Antwren;
